client_id,month,revenue,traffic_gb,n_tickets,debt,n_sim
CL000001,2024-02,1897613.05,1790.5,0,0.0,65
CL000002,2024-02,2187800.82,2694.3,0,0.0,112
CL000003,2024-02,71866.5,69.3,0,0.0,12
CL000006,2024-02,138142.94,121.9,0,0.0,23
CL000007,2024-02,179733.65,193.8,0,0.0,10
CL000008,2024-02,397816.8,368.3,1,0.0,50
CL000010,2024-02,98918.18,114.2,0,0.0,17
CL000013,2024-02,97280.87,124.3,0,0.0,22
CL000014,2024-02,208521.85,269.1,0,0.0,10
CL000015,2024-02,109493.47,110.0,0,0.0,13
CL000016,2024-02,112827.73,97.3,0,0.0,6
CL000017,2024-02,1000330.79,1123.9,0,0.0,111
CL000021,2024-02,435893.41,323.5,0,0.0,46
CL000025,2024-02,237683.9,315.9,0,0.0,222
CL000026,2024-02,577829.43,669.7,0,0.0,60
CL000030,2024-02,809861.07,842.6,0,0.0,260
CL000031,2024-02,97991.36,106.9,0,0.0,10
CL000033,2024-02,79292.3,90.1,0,0.0,5
CL000034,2024-02,556332.56,573.8,1,0.0,72
CL000036,2024-02,597032.95,721.9,0,0.0,271
CL000037,2024-02,44218.68,46.3,1,0.0,19
CL000039,2024-02,634190.88,699.2,0,0.0,128
CL000040,2024-02,198188.25,182.5,1,0.0,8
CL000041,2024-02,136871.5,167.0,0,0.0,21
CL000044,2024-02,687832.08,670.6,0,0.0,287
CL000045,2024-02,542616.23,367.4,0,0.0,56
CL000046,2024-02,573705.81,559.9,0,0.0,245
CL000047,2024-02,392816.21,443.5,0,0.0,200
CL000052,2024-02,563226.34,569.8,0,1352.12,117
CL000053,2024-02,196180.4,195.8,0,0.0,9
CL000054,2024-02,347995.63,186.6,0,0.0,183
CL000055,2024-02,244042.82,284.8,1,0.0,19
CL000057,2024-02,601741.38,707.3,0,859.93,138
CL000060,2024-02,142259.91,123.8,0,0.0,10
CL000061,2024-02,850430.07,743.6,0,0.0,121
CL000062,2024-02,139488.0,134.5,0,0.0,19
CL000063,2024-02,52240.54,67.5,1,476.71,5
CL000064,2024-02,520426.11,453.5,0,0.0,163
CL000066,2024-02,53133.6,48.6,1,0.0,19
CL000067,2024-02,145068.79,136.2,0,0.0,15
CL000069,2024-02,643278.93,401.2,0,0.0,137
CL000070,2024-02,119555.58,103.3,0,0.0,167
CL000072,2024-02,507589.04,579.2,0,0.0,327
CL000073,2024-02,761068.83,591.8,0,0.0,268
CL000074,2024-02,1131334.21,899.0,0,0.0,55
CL000076,2024-02,47271.85,46.8,0,0.0,19
CL000079,2024-02,283038.93,272.8,0,0.0,213
CL000085,2024-02,1366827.14,1374.4,0,0.0,234
CL000086,2024-02,202152.57,220.0,0,0.0,6
CL000090,2024-02,97287.26,93.7,0,0.0,7
CL000092,2024-02,145313.82,126.5,0,0.0,16
CL000093,2024-02,73752.74,107.9,0,0.0,11
CL000096,2024-02,199552.33,136.7,0,0.0,21
CL000097,2024-02,168683.25,190.8,1,0.0,10
CL000098,2024-02,48184.99,55.3,0,0.0,10
CL000099,2024-02,525532.71,587.7,0,0.0,29
CL000100,2024-02,154005.18,184.8,0,0.0,11
CL000101,2024-02,74030.03,82.1,0,0.0,5
CL000102,2024-02,96792.03,101.3,0,0.0,16
CL000104,2024-02,95954.27,91.1,0,0.0,14
CL000106,2024-02,176600.92,195.2,0,0.0,25
CL000110,2024-02,611549.44,530.6,0,0.0,197
CL000111,2024-02,88369.48,72.7,0,0.0,15
CL000112,2024-02,1135478.19,1011.0,0,0.0,305
CL000113,2024-02,199005.56,122.1,1,0.0,13
